class,vehicle_type,count
MA,PASSENGER CAR/VAN,3064555
NA,GOODS VAN/TRUCK/UTILITY,718542
TA,TRAILER/CARAVAN,540410
MC,PASSENGER CAR/VAN,424632
<blank>,PASSENGER CAR/VAN,185444
TB,TRAILER/CARAVAN,185183
LC,MOTORCYCLE,167794
<blank>,TRAILER/CARAVAN,113071
NB,GOODS VAN/TRUCK/UTILITY,76122
NC,GOODS VAN/TRUCK/UTILITY,70070
<blank>,GOODS VAN/TRUCK/UTILITY,63138
OTH,TRACTOR,42614
TD,TRAILER/CARAVAN,40472
NB,MOTOR CARAVAN,32204
LA,MOPED,28752
OTH,MOBILE MACHINE,26449
MD1,BUS,23858
<blank>,MOTORCYCLE,22272
NA,MOTOR CARAVAN,19775
ME,BUS,10664
MB,PASSENGER CAR/VAN,9257
OTH,ATV,9215
OTH,AGRICULTURAL MACHINE,3346
<blank>,TRACTOR,2943
NC,MOTOR CARAVAN,2484
NC,SPECIAL PURPOSE VEHICLE,1904
LE,PASSENGER CAR/VAN,1816
<blank>,MOTOR CARAVAN,1623
TC,TRAILER/CARAVAN,1516
MD3,BUS,1454
<blank>,MOPED,1135
<blank>,MOBILE MACHINE,1099
NB,SPECIAL PURPOSE VEHICLE,1052
OTH,TRAILER NOT DESIGNED FOR H/WAY USE,1010
MD4,BUS,845
LE,MOTORCYCLE,553
MD2,BUS,381
<blank>,BUS,302
OTH,SPECIAL PURPOSE VEHICLE,279
<blank>,HIGH SPEED AGRICULTURAL VEHICLE,235
LD,MOTORCYCLE,188
<blank>,SPECIAL PURPOSE VEHICLE,146
<blank>,AGRICULTURAL MACHINE,86
<blank>,TRAILER NOT DESIGNED FOR H/WAY USE,67
LB,MOPED,50
<blank>,ATV,37
NA,SPECIAL PURPOSE VEHICLE,16
OTH,HIGH SPEED AGRICULTURAL VEHICLE,15
NB,HIGH SPEED AGRICULTURAL VEHICLE,12
NC,HIGH SPEED AGRICULTURAL VEHICLE,2
MA,GOODS VAN/TRUCK/UTILITY,1
NA,HIGH SPEED AGRICULTURAL VEHICLE,1
