registration_month,import_status_group,registration_count
1901-01,other_or_unknown,2
1901-05,other_or_unknown,1
1902-01,other_or_unknown,1
1903-01,other_or_unknown,5
1903-05,other_or_unknown,1
1903-09,other_or_unknown,1
1904-01,other_or_unknown,6
1904-04,other_or_unknown,1
1904-11,other_or_unknown,1
1905-01,other_or_unknown,3
1905-05,other_or_unknown,1
1906-01,other_or_unknown,4
1906-02,other_or_unknown,2
1906-08,other_or_unknown,1
1906-09,other_or_unknown,1
1907-01,other_or_unknown,4
1907-05,other_or_unknown,1
1908-01,other_or_unknown,4
1908-11,other_or_unknown,1
1908-12,other_or_unknown,1
1909-01,other_or_unknown,7
1909-05,other_or_unknown,1
1909-07,other_or_unknown,1
1909-12,other_or_unknown,1
1910-01,other_or_unknown,2
1910-11,other_or_unknown,1
1911-01,other_or_unknown,10
1911-05,other_or_unknown,1
1911-11,other_or_unknown,1
1912-01,other_or_unknown,10
1912-06,other_or_unknown,2
1913-01,other_or_unknown,17
1913-05,other_or_unknown,1
1913-06,other_or_unknown,1
1914-01,other_or_unknown,13
1914-04,other_or_unknown,2
1914-05,other_or_unknown,1
1914-06,other_or_unknown,3
1914-07,other_or_unknown,1
1914-10,other_or_unknown,1
1914-11,other_or_unknown,1
1915-01,other_or_unknown,14
1915-03,other_or_unknown,2
1915-04,other_or_unknown,1
1915-07,other_or_unknown,1
1915-11,other_or_unknown,1
1916-01,other_or_unknown,4
1917-01,other_or_unknown,4
1917-05,other_or_unknown,1
1917-06,other_or_unknown,4
1917-07,other_or_unknown,1
1917-09,other_or_unknown,1
1918-01,other_or_unknown,7
1918-03,other_or_unknown,2
1918-04,other_or_unknown,1
1918-05,other_or_unknown,1
1918-09,other_or_unknown,1
1918-12,other_or_unknown,2
1919-01,other_or_unknown,4
1919-06,other_or_unknown,2
1920-01,other_or_unknown,5
1920-06,other_or_unknown,2
1920-07,other_or_unknown,1
1920-10,other_or_unknown,1
1920-12,other_or_unknown,1
1921-01,other_or_unknown,2
1922-01,other_or_unknown,10
1922-06,other_or_unknown,1
1923-01,other_or_unknown,25
1923-03,other_or_unknown,2
1923-04,other_or_unknown,1
1923-05,other_or_unknown,4
1923-06,other_or_unknown,3
1923-07,other_or_unknown,2
1923-09,other_or_unknown,1
1923-11,other_or_unknown,1
1923-12,other_or_unknown,2
1924-01,other_or_unknown,27
1924-02,other_or_unknown,1
1924-04,other_or_unknown,1
1924-05,other_or_unknown,1
1924-06,other_or_unknown,3
1924-08,other_or_unknown,2
1924-12,other_or_unknown,2
1925-01,other_or_unknown,37
1925-02,other_or_unknown,4
1925-03,other_or_unknown,5
1925-04,other_or_unknown,2
1925-05,other_or_unknown,8
1925-06,other_or_unknown,5
1925-11,other_or_unknown,3
1925-12,other_or_unknown,3
1926-01,other_or_unknown,43
1926-02,other_or_unknown,2
1926-03,other_or_unknown,3
1926-04,other_or_unknown,5
1926-05,other_or_unknown,2
1926-06,other_or_unknown,5
1926-07,other_or_unknown,1
1926-08,other_or_unknown,2
1926-09,other_or_unknown,2
1926-10,other_or_unknown,3
1926-11,other_or_unknown,3
1926-12,other_or_unknown,3
1927-01,other_or_unknown,39
1927-02,other_or_unknown,6
1927-03,other_or_unknown,3
1927-04,other_or_unknown,1
1927-05,other_or_unknown,6
1927-06,other_or_unknown,6
1927-07,other_or_unknown,1
1927-08,other_or_unknown,2
1927-09,other_or_unknown,2
1927-11,other_or_unknown,3
1927-12,other_or_unknown,4
1928-01,other_or_unknown,98
1928-02,other_or_unknown,4
1928-03,other_or_unknown,4
1928-04,nz_new,1
1928-04,other_or_unknown,1
1928-05,other_or_unknown,5
1928-06,other_or_unknown,14
1928-07,other_or_unknown,3
1928-08,other_or_unknown,13
1928-09,other_or_unknown,7
1928-10,other_or_unknown,4
1928-11,other_or_unknown,8
1928-12,other_or_unknown,7
1929-01,other_or_unknown,95
1929-02,other_or_unknown,3
1929-03,other_or_unknown,7
1929-03,nz_new,1
1929-04,other_or_unknown,3
1929-05,other_or_unknown,6
1929-06,other_or_unknown,13
1929-07,other_or_unknown,3
1929-08,other_or_unknown,4
1929-09,other_or_unknown,8
1929-09,nz_new,1
1929-10,other_or_unknown,5
1929-10,nz_new,1
1929-11,other_or_unknown,7
1929-12,other_or_unknown,5
1929-12,nz_new,1
1930-01,other_or_unknown,130
1930-01,nz_new,1
1930-02,other_or_unknown,10
1930-03,other_or_unknown,13
1930-04,other_or_unknown,11
1930-04,nz_new,1
1930-05,other_or_unknown,11
1930-06,other_or_unknown,20
1930-07,other_or_unknown,6
1930-08,other_or_unknown,4
1930-09,other_or_unknown,7
1930-09,nz_new,2
1930-10,other_or_unknown,6
1930-11,other_or_unknown,5
1930-12,other_or_unknown,4
1931-01,other_or_unknown,40
1931-02,other_or_unknown,7
1931-03,other_or_unknown,4
1931-04,other_or_unknown,2
1931-04,nz_new,1
1931-05,other_or_unknown,5
1931-06,other_or_unknown,2
1931-07,other_or_unknown,3
1931-08,other_or_unknown,5
1931-09,other_or_unknown,2
1931-10,other_or_unknown,2
1931-11,other_or_unknown,2
1931-12,other_or_unknown,3
1932-01,other_or_unknown,28
1932-02,other_or_unknown,1
1932-03,other_or_unknown,1
1932-04,other_or_unknown,2
1932-06,other_or_unknown,6
1932-07,other_or_unknown,3
1932-08,other_or_unknown,1
1932-09,other_or_unknown,1
1932-10,other_or_unknown,1
1932-11,other_or_unknown,2
1932-12,other_or_unknown,3
1933-01,other_or_unknown,13
1933-02,other_or_unknown,2
1933-03,other_or_unknown,2
1933-04,other_or_unknown,1
1933-05,other_or_unknown,1
1933-06,other_or_unknown,4
1933-07,other_or_unknown,1
1933-09,other_or_unknown,1
1933-11,other_or_unknown,2
1933-12,other_or_unknown,1
1934-01,other_or_unknown,63
1934-02,other_or_unknown,1
1934-03,other_or_unknown,4
1934-04,other_or_unknown,4
1934-05,other_or_unknown,5
1934-06,other_or_unknown,10
1934-06,nz_new,1
1934-07,other_or_unknown,4
1934-07,nz_new,1
1934-08,other_or_unknown,6
1934-09,other_or_unknown,2
1934-10,other_or_unknown,4
1934-11,other_or_unknown,3
1934-12,other_or_unknown,8
1934-12,nz_new,1
1935-01,other_or_unknown,53
1935-01,nz_new,1
1935-02,other_or_unknown,1
1935-04,other_or_unknown,5
1935-05,other_or_unknown,5
1935-06,other_or_unknown,8
1935-07,other_or_unknown,5
1935-08,other_or_unknown,5
1935-09,other_or_unknown,3
1935-09,nz_new,1
1935-10,other_or_unknown,8
1935-10,nz_new,1
1935-11,other_or_unknown,7
1935-11,nz_new,2
1935-12,other_or_unknown,3
1936-01,other_or_unknown,73
1936-02,other_or_unknown,5
1936-03,other_or_unknown,5
1936-04,other_or_unknown,7
1936-05,other_or_unknown,3
1936-06,other_or_unknown,11
1936-07,other_or_unknown,3
1936-08,other_or_unknown,7
1936-09,other_or_unknown,6
1936-10,other_or_unknown,7
1936-11,other_or_unknown,9
1936-12,other_or_unknown,7
1936-12,nz_new,1
1937-01,other_or_unknown,108
1937-02,other_or_unknown,14
1937-02,nz_new,1
1937-03,other_or_unknown,12
1937-04,other_or_unknown,10
1937-05,other_or_unknown,14
1937-06,other_or_unknown,21
1937-06,nz_new,1
1937-07,other_or_unknown,10
1937-08,other_or_unknown,8
1937-09,other_or_unknown,8
1937-10,other_or_unknown,12
1937-11,other_or_unknown,11
1937-11,nz_new,1
1937-12,other_or_unknown,8
1937-12,nz_new,2
1938-01,other_or_unknown,110
1938-02,other_or_unknown,11
1938-02,nz_new,1
1938-03,other_or_unknown,15
1938-03,nz_new,1
1938-04,other_or_unknown,8
1938-04,nz_new,1
1938-05,other_or_unknown,8
1938-06,other_or_unknown,13
1938-07,other_or_unknown,8
1938-07,nz_new,1
1938-08,other_or_unknown,10
1938-08,nz_new,1
1938-09,other_or_unknown,2
1938-10,other_or_unknown,8
1938-10,nz_new,2
1938-11,other_or_unknown,8
1938-12,other_or_unknown,14
1938-12,nz_new,2
1939-01,other_or_unknown,97
1939-01,nz_new,1
