registration_month,powertrain_group,registration_count
1901-01,combustion,1
1901-01,other_or_unknown,1
1901-05,combustion,1
1902-01,combustion,1
1903-01,combustion,4
1903-01,other_or_unknown,1
1903-05,combustion,1
1903-09,combustion,1
1904-01,combustion,6
1904-04,combustion,1
1904-11,combustion,1
1905-01,combustion,3
1905-05,combustion,1
1906-01,combustion,4
1906-02,combustion,2
1906-08,combustion,1
1906-09,combustion,1
1907-01,combustion,4
1907-05,combustion,1
1908-01,combustion,4
1908-11,combustion,1
1908-12,combustion,1
1909-01,combustion,7
1909-05,combustion,1
1909-07,combustion,1
1909-12,combustion,1
1910-01,combustion,2
1910-11,combustion,1
1911-01,combustion,10
1911-05,combustion,1
1911-11,combustion,1
1912-01,combustion,10
1912-06,combustion,2
1913-01,combustion,17
1913-05,combustion,1
1913-06,combustion,1
1914-01,combustion,13
1914-04,combustion,2
1914-05,combustion,1
1914-06,combustion,3
1914-07,combustion,1
1914-10,combustion,1
1914-11,combustion,1
1915-01,combustion,14
1915-03,combustion,2
1915-04,combustion,1
1915-07,combustion,1
1915-11,combustion,1
1916-01,combustion,4
1917-01,combustion,4
1917-05,combustion,1
1917-06,combustion,4
1917-07,combustion,1
1917-09,combustion,1
1918-01,combustion,7
1918-03,combustion,2
1918-04,combustion,1
1918-05,combustion,1
1918-09,combustion,1
1918-12,combustion,2
1919-01,combustion,4
1919-06,combustion,2
1920-01,combustion,5
1920-06,combustion,2
1920-07,combustion,1
1920-10,combustion,1
1920-12,combustion,1
1921-01,combustion,2
1922-01,combustion,10
1922-06,combustion,1
1923-01,combustion,25
1923-03,combustion,2
1923-04,combustion,1
1923-05,combustion,4
1923-06,combustion,3
1923-07,combustion,2
1923-09,combustion,1
1923-11,combustion,1
1923-12,combustion,2
1924-01,combustion,27
1924-02,combustion,1
1924-04,combustion,1
1924-05,combustion,1
1924-06,combustion,3
1924-08,combustion,2
1924-12,combustion,2
1925-01,combustion,37
1925-02,combustion,4
1925-03,combustion,5
1925-04,combustion,2
1925-05,combustion,8
1925-06,combustion,5
1925-11,combustion,3
1925-12,combustion,3
1926-01,combustion,43
1926-02,combustion,2
1926-03,combustion,3
1926-04,combustion,5
1926-05,combustion,2
1926-06,combustion,5
1926-07,combustion,1
1926-08,combustion,2
1926-09,combustion,2
1926-10,combustion,3
1926-11,combustion,3
1926-12,combustion,3
1927-01,combustion,39
1927-02,combustion,6
1927-03,combustion,3
1927-04,combustion,1
1927-05,combustion,6
1927-06,combustion,6
1927-07,combustion,1
1927-08,combustion,2
1927-09,combustion,2
1927-11,combustion,3
1927-12,combustion,4
1928-01,combustion,98
1928-02,combustion,4
1928-03,combustion,4
1928-04,combustion,2
1928-05,combustion,5
1928-06,combustion,14
1928-07,combustion,3
1928-08,combustion,13
1928-09,combustion,7
1928-10,combustion,4
1928-11,combustion,8
1928-12,combustion,7
1929-01,combustion,95
1929-02,combustion,3
1929-03,combustion,8
1929-04,combustion,3
1929-05,combustion,6
1929-06,combustion,13
1929-07,combustion,3
1929-08,combustion,4
1929-09,combustion,9
1929-10,combustion,6
1929-11,combustion,7
1929-12,combustion,6
1930-01,combustion,131
1930-02,combustion,10
1930-03,combustion,13
1930-04,combustion,12
1930-05,combustion,11
1930-06,combustion,20
1930-07,combustion,6
1930-08,combustion,4
1930-09,combustion,9
1930-10,combustion,6
1930-11,combustion,5
1930-12,combustion,4
1931-01,combustion,40
1931-02,combustion,7
1931-03,combustion,4
1931-04,combustion,3
1931-05,combustion,5
1931-06,combustion,2
1931-07,combustion,3
1931-08,combustion,5
1931-09,combustion,2
1931-10,combustion,2
1931-11,combustion,2
1931-12,combustion,3
1932-01,combustion,28
1932-02,combustion,1
1932-03,combustion,1
1932-04,combustion,2
1932-06,combustion,6
1932-07,combustion,3
1932-08,combustion,1
1932-09,combustion,1
1932-10,combustion,1
1932-11,combustion,2
1932-12,combustion,3
1933-01,combustion,13
1933-02,combustion,2
1933-03,combustion,2
1933-04,combustion,1
1933-05,combustion,1
1933-06,combustion,4
1933-07,combustion,1
1933-09,combustion,1
1933-11,combustion,2
1933-12,combustion,1
1934-01,combustion,63
1934-02,combustion,1
1934-03,combustion,4
1934-04,combustion,4
1934-05,combustion,5
1934-06,combustion,11
1934-07,combustion,5
1934-08,combustion,6
1934-09,combustion,2
1934-10,combustion,4
1934-11,combustion,3
1934-12,combustion,9
1935-01,combustion,54
1935-02,combustion,1
1935-04,combustion,5
1935-05,combustion,5
1935-06,combustion,8
1935-07,combustion,5
1935-08,combustion,5
1935-09,combustion,4
1935-10,combustion,9
1935-11,combustion,9
1935-12,combustion,3
1936-01,combustion,73
1936-02,combustion,5
1936-03,combustion,5
1936-04,combustion,7
1936-05,combustion,3
1936-06,combustion,11
1936-07,combustion,3
1936-08,combustion,7
1936-09,combustion,6
1936-10,combustion,7
1936-11,combustion,9
