source_make,brand,brand_country
ABARTH,Abarth,Italy
AC,AC,United Kingdom
ALFA ROMEO,Alfa Romeo,Italy
ALMAC,Almac,New Zealand
ALPINA,Alpina,Germany
ALPINE,Alpine,France
ALVIS,Alvis,United Kingdom
AM GENERAL,AM General,United States
AMC,AMC,United States
AMERICAN,American Motors,United States
ARCFOX,Arcfox,China
ASTON MARTIN,Aston Martin,United Kingdom
AUBURN,Auburn,United States
AUDI,Audi,Germany
AUSTIN,Austin,United Kingdom
AUSTIN-HEALEY,Austin-Healey,United Kingdom
AUTECH,Autech,Japan
AUTECH ZAGATO,Autech,Japan
AUTO UNION,Auto Union,Germany
AVATR,Avatr,China
BAIC,BAIC,China
BENTLEY,Bentley,United Kingdom
BMW,BMW,Germany
BOLWELL,Bolwell,Australia
BORGWARD,Borgward,Germany
BRICKLIN,Bricklin,Canada
BRISTOL,Bristol,United Kingdom
BUGATTI,Bugatti,France
BUICK,Buick,United States
BYD,BYD,China
CADILLAC,Cadillac,United States
CAN-AM,Can-Am,Canada
CATERHAM,Caterham,United Kingdom
CHANDLER,Chandler,United States
CHERY,Chery,China
CHEVROLET,Chevrolet,United States
CHRYSLER,Chrysler,United States
CHRYSLER JEEP,Jeep,United States
CITROEN,Citroen,France
CLENET,Clenet,United States
CONTINENTAL,Continental,United States
CORD,Cord,United States
COUNTESS,Countess,New Zealand
CUPRA,Cupra,Spain
DACIA,Dacia,Romania
DAEWOO,Daewoo,South Korea
DAIHATSU,Daihatsu,Japan
DAIMLER,Daimler,United Kingdom
DATSUN,Datsun,Japan
DAVIS,Davis,United States
DE LOREAN,DeLorean,United States
DE SOTO,DeSoto,United States
DE TOMASO,De Tomaso,Italy
DELAGE,Delage,France
DELOREAN,DeLorean,United States
DENZA,Denza,China
DESOTO,DeSoto,United States
DETOMASO,De Tomaso,Italy
DIATTO,Diatto,Italy
DIXON,Dixon,United States
DODGE,Dodge,United States
DONGFENG,Dongfeng,China
DS,DS Automobiles,France
DS AUTOMOBILES,DS Automobiles,France
EDSEL,Edsel,United States
ESSEX,Essex,United States
EUNOS,Eunos,Japan
EXCALIBUR,Excalibur,United States
FANGCHENGBAO,Fangchengbao,China
FERRARI,Ferrari,Italy
FIAT,Fiat,Italy
FISKER,Fisker,United States
FORD,Ford,United States
FORTHING,Forthing,China
FOTON,Foton,China
FRASER,Fraser,New Zealand
GAC,GAC,China
GEELY,Geely,China
GENESIS,Genesis,South Korea
GINETTA,Ginetta,United Kingdom
GMC,GMC,United States
GRAHAM,Graham,United States
GRAHAM-PAIGE,Graham-Paige,United States
GREAT WALL,Great Wall,China
GWM,GWM,China
HAVAL,Haval,China
HILLMAN,Hillman,United Kingdom
HINO,Hino,Japan
HOLDEN,Holden,Australia
HOLDEN SPECIAL VEHICLES,HSV,Australia
HONDA,Honda,Japan
HSV,HSV,Australia
HUDSON,Hudson,United States
HUMBER,Humber,United Kingdom
HUMMER,Hummer,United States
HUPMOBILE,Hupmobile,United States
HYUNDAI,Hyundai,South Korea
IMPERIAL,Imperial,United States
INEOS,Ineos,United Kingdom
INFINITI,Infiniti,Japan
INTERNATIONAL,International,United States
INTERNATIONAL HARVESTER,International,United States
ISO,Iso,Italy
ISUZU,Isuzu,Japan
JAECOO,Jaecoo,China
JAGUAR,Jaguar,United Kingdom
JEEP,Jeep,United States
JENSEN,Jensen,United Kingdom
JEWETT,Jewett,United States
JOWETT,Jowett,United Kingdom
JUNEYAO,Juneyao,China
KAISER,Kaiser,United States
KGM,KGM,South Korea
KIA,Kia,South Korea
KOENIGSEGG,Koenigsegg,Sweden
KTM,KTM,Austria
LADA,Lada,Russia
LAGONDA,Lagonda,United Kingdom
LAMBORGHINI,Lamborghini,Italy
LANCIA,Lancia,Italy
LAND ROVER,Land Rover,United Kingdom
